,Product Name,Original Price,Sale Price,Rating,Product Code,Percentage Off
1123,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
1124,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
1125,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
1126,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
1127,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
1128,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
1129,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
1130,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
1131,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
1132,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
1133,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
1134,"CANVAS Horizon Outdoor Patio Modular Pergola, 10-ft x 10-ft",1299.99,849.99,4.0,188-0240-2,65.0
1135,"CANVAS Vernon All-Weather Wicker Casual Outdoor/ Patio Dining Set, 7-pc",2299.99,1599.99,4.1,188-0284-8,70.0
1136,"Bahama & Co Sandal Scented Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1076-8,65.0
1137,"Kraft Bubble Mailers, Size #2, 5-pk",6.99,0.93,4.8,067-6158-2,13.0
1138,"Bahama & Co Scented Necklace Shaped Air Freshener, Waikiki Wild Hibiscus",4.49,2.93,0.0,037-1074-2,65.0
1139,AXE Vent Clip Air Fresheners Gift Pack,,12.43,0.0,399-9261-6,
1140,"Command Removable Self-Adhesive Hooks, Jumbo, White",6.79,3.93,0.0,061-0394-6,58.0
1141,"Midwest Homes Maxx Pet Ultra-Durable Crate Pet Mat, Washable, Black, 42-in",69.99,44.93,3.7,142-1144-4,64.0
1142,"CANVAS Hunter All-Weather Wicker Outdoor/Patio Padded Club Chair Set, 2-pk",899.99,584.99,0.0,188-0275-0,65.0
1143,"Simoniz Tire Shine and Glass Cleaner Kit, 2-pack",,6.93,0.0,399-8761-2,
1144,CANVAS Homestead Faux-Wood Outdoor Patio Hard Top Gazebo with Ceiling Hook,1999.99,1599.99,0.0,188-0291-0,80.0
1145,Diono Radian 3RXT Car Seat,469.99,324.93,4.8,046-8821-0,69.0
1146,"Kraft Bubble Mailers, Size #5, 5-pk",9.99,1.43,4.8,067-6159-0,14.0
1147,"Nestle KitKat Chocolate Bunny, 29-g",1.29,0.49,0.0,151-5224-8,38.0
